densities ,ds       ,D_start       ,D_end         ,D_dt ,COO_s    ,COO_start     ,COO_end       ,COO_dt ,CSR_s    ,CSR_start     ,CSR_end       ,CSR_dt
     0.9  ,10519256 ,1701093513222 ,1701093513315 ,1.84 ,18934672 ,1701093514316 ,1701093519347 ,100.62 ,14202980 ,1701093520348 ,1701093522847 , 49.98
     0.8  ,10519256 ,1701093524938 ,1701093525014 ,1.5  ,16830816 ,1701093526015 ,1701093530086 , 81.42 ,12625088 ,1701093531087 ,1701093532949 , 37.22
     0.7  ,10519256 ,1701093535026 ,1701093535092 ,1.32 ,14726944 ,1701093536093 ,1701093539393 , 65.98 ,11047184 ,1701093540394 ,1701093541818 , 28.48
     0.6  ,10519256 ,1701093543889 ,1701093543956 ,1.32 ,12623104 ,1701093544956 ,1701093547620 , 53.28 , 9469304 ,1701093548621 ,1701093549740 , 22.36
     0.5  ,10519256 ,1701093551800 ,1701093551869 ,1.36 ,10519264 ,1701093552870 ,1701093554975 , 42.08 , 7891424 ,1701093555976 ,1701093556807 , 16.62
     0.4  ,10519256 ,1701093558860 ,1701093558926 ,1.32 , 8415408 ,1701093559927 ,1701093561518 , 31.8  , 6313532 ,1701093562519 ,1701093563124 , 12.08
     0.3  ,10519256 ,1701093565168 ,1701093565234 ,1.32 , 6311552 ,1701093566235 ,1701093567380 , 22.9  , 4735640 ,1701093568381 ,1701093568808 ,  8.52
     0.2  ,10519256 ,1701093570845 ,1701093570912 ,1.34 , 4207696 ,1701093571913 ,1701093572671 , 15.16 , 3157748 ,1701093573672 ,1701093573970 ,  5.94
     0.1  ,10519256 ,1701093575998 ,1701093576064 ,1.32 , 2103856 ,1701093577065 ,1701093577507 ,  8.82 , 1579868 ,1701093578508 ,1701093578725 ,  4.32
     0.01 ,10519256 ,1701093580748 ,1701093580816 ,1.34 ,  210384 ,1701093581817 ,1701093581845 ,  0.56 ,  159764 ,1701093582846 ,1701093582857 ,  0.2
